Graph0
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.553928
0.100000,-0.783682
0.150000,-0.883977
0.200000,-0.926119
0.250000,-0.945121
0.300000,-0.952456
0.350000,-0.955530
0.400000,-0.956308
0.450000,-0.958508
0.500000,-0.957374
0.550000,0.197720
0.600000,0.606111
0.650000,0.739013
0.700000,0.787849
0.750000,0.804146
0.800000,0.816699
0.850000,0.819268
0.900000,0.827805
0.950000,0.820388
1.000000,0.830455
1.050000,0.830346
1.100000,-0.334351
1.150000,-0.745215
1.200000,-0.881955
1.250000,-0.930504
1.300000,-0.941446
1.350000,-0.946036
1.400000,-0.952197
1.450000,-0.951568
1.500000,-0.931351
1.550000,-0.944656
1.600000,-0.921365
1.650000,-0.925094
1.700000,-0.933864
1.750000,-0.924999
1.800000,-0.922649
1.850000,-0.925231
1.900000,-0.929835
1.950000,-0.932881
2.000000,-0.943317
2.050000,-0.945612
2.100000,-0.939848
2.150000,-0.943003
2.200000,-0.943372
2.250000,-0.944820
2.300000,-0.944424
2.350000,-0.935804
2.400000,-0.942662
2.450000,-0.942962
2.500000,-0.939260
2.550000,-0.944957
2.600000,-0.952087
2.650000,-0.954942
2.700000,-0.965980
2.750000,0.203212
2.800000,0.617709
2.850000,0.759490
2.900000,0.806946
2.950000,0.819431
3.000000,0.828201
3.050000,0.824595
3.100000,0.832026
3.150000,0.832627
3.200000,0.838447
3.250000,0.843405
3.300000,0.845823
3.350000,0.857120
3.400000,0.861861
3.450000,0.869893
3.500000,0.860536
3.550000,0.862393
3.600000,0.883458
3.650000,0.888976
3.700000,-0.249725
3.750000,-0.678593
3.800000,-0.825046
3.850000,-0.868213
3.900000,-0.894591
3.950000,-0.881846
4.000000,-0.884045
4.050000,-0.907582
4.100000,-0.902077
4.150000,-0.925094
4.200000,-0.920873
4.250000,-0.928482
4.300000,-0.926583
4.350000,-0.929903
4.400000,-0.924712
4.450000,-0.929876
4.500000,-0.915532
4.550000,-0.899304
4.600000,-0.883130
4.650000,-0.913060
4.700000,-0.884100
4.750000,-0.896749
4.800000,-0.878690
4.850000,-0.886354
4.900000,-0.897924
4.950000,-0.906052
5.000000,-0.896421
5.050000,-0.895861
5.100000,-0.893662
5.150000,-0.875316
5.200000,-0.872789
5.250000,-0.869428
5.300000,-0.842668
5.350000,-0.832573
5.400000,-0.858118
5.450000,-0.842135
5.500000,-0.832805
5.550000,-0.848856
5.600000,-0.838993
5.650000,-0.885602
5.700000,-0.899700
5.750000,-0.871314
5.800000,-0.876436
5.850000,-0.899877
5.900000,-0.840578
5.950000,-0.837504
6.000000,-0.836698
6.050000,-0.877106
6.100000,-0.893935
6.150000,-0.877188
6.200000,-0.865235
6.250000,-0.880753
6.300000,-0.872202
6.350000,-0.874073
6.400000,-0.853036
6.450000,-0.858473
6.500000,-0.871204
6.550000,-0.881736
6.600000,-0.832545
6.650000,-0.868978
6.700000,-0.893102
6.750000,-0.912650
6.800000,-0.913565
6.850000,-0.910669
6.900000,-0.907718
6.950000,-0.906967
7.000000,-0.905137
7.050000,-0.905219
7.100000,-0.904017
7.150000,-0.904891
7.200000,-0.903293
7.250000,-0.903620
7.300000,-0.901722
7.350000,-0.901134
7.400000,-0.905847
7.450000,-0.905533
7.500000,-0.912404
7.550000,-0.927949
7.600000,-0.938728
7.650000,-0.942593
7.700000,-0.953085
7.750000,-0.943003
7.800000,-0.927526
7.850000,-0.919617
7.900000,-0.913497
7.950000,-0.912636
8.000000,-0.912718
8.050000,-0.925641
8.100000,-0.928564
8.150001,-0.929561
8.200000,-0.927239
8.250000,-0.934698
8.300000,-0.935340
8.350000,-0.936542
8.400001,-0.948795
8.450000,-0.949123
8.500000,-0.959204
8.550000,-0.964300
8.600000,-0.977769
8.650001,-0.968084
8.700000,-0.963658
8.750000,-1.000568
8.800000,-0.993642
8.850000,-0.978630
8.900001,-0.986990
8.950000,-0.994844
9.000000,-0.999585
9.050000,-0.994052
9.100000,-0.972906
9.150001,-0.967114
9.200000,-1.031263
9.250000,-1.026946
9.300000,-1.001975
9.350000,-1.045333
9.400001,-1.040607
9.450000,-1.003177
9.500000,-1.047669
9.550000,-1.037547
9.600000,-1.053557
9.650001,-1.019064
9.700000,-1.042915
9.750000,-1.017603
9.800000,-1.001429
9.850000,0.213553
9.900001,0.624389
9.950000,0.764025
10.000000,0.823789
10.050000,0.824513
10.100000,0.824786
10.150001,0.833379
10.200000,0.813639
10.250000,0.817738
10.300000,0.788586
10.350000,0.818871
10.400001,0.783737
10.450000,0.831753
10.500000,0.849962
10.550000,0.877201
10.600000,0.838092
10.650001,0.855645
10.700000,0.869729
10.750000,0.869415
10.800000,0.857148
10.850000,0.865166
10.900001,0.871450
10.950000,0.836917
11.000000,0.837477
11.050000,0.830770
11.100000,0.813831
11.150001,0.804282
11.200000,0.801509
11.250000,0.796742
11.300000,0.812178
11.350000,0.813749
11.400001,0.817314
11.450000,0.833488
11.500000,0.831152
11.550000,0.830879
11.600000,0.843720
11.650001,0.860358
11.700000,0.876231
