Graph
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.118920
0.100000,-0.079361
0.150000,0.088369
0.200000,0.384484
0.250000,0.788569
0.300000,1.310269
0.350000,1.946366
0.400000,2.700960
0.450000,3.549272
0.500000,4.523043
0.550000,5.613731
0.600000,6.755781
0.650000,7.895090
0.700000,9.013055
0.750000,10.104628
0.800000,11.159792
0.850000,12.173265
0.900000,13.163768
0.950000,14.108315
1.000000,15.021220
1.050000,15.900553
1.100000,16.748161
1.150000,17.559649
1.200000,18.334127
1.250000,19.051947
1.300000,19.751812
1.350000,20.416574
1.400000,21.049702
1.450000,21.641924
1.500000,22.195196
1.550000,22.708042
1.600000,23.198410
1.650000,23.649178
1.700000,24.062998
1.750000,24.440125
1.800000,24.786898
1.850000,25.096512
1.900000,25.381205
1.950000,25.626356
2.000000,25.836069
2.050000,25.990080
2.100000,26.126547
2.150000,26.225967
2.200000,26.293375
2.250000,26.318300
2.300000,26.309296
2.350000,26.258307
2.400000,26.172106
2.450000,26.042917
2.500000,25.880394
2.550000,25.679203
2.600000,25.438173
2.650000,25.152081
2.700000,24.830481
2.750000,24.466318
2.800000,24.062269
2.850000,23.608721
2.900000,23.115362
2.950000,22.577950
3.000000,22.034456
3.050000,21.419565
3.100000,20.757332
3.150000,20.051640
3.200000,19.310150
3.250000,18.538073
3.300000,17.723335
3.350000,16.870258
3.400000,15.972039
3.450000,15.025906
3.500000,14.042980
3.550000,13.014408
3.600000,12.005062
3.650000,11.067913
3.700000,10.247642
3.750000,9.512383
3.800000,8.892693
3.850000,8.379264
3.900000,8.005880
3.950000,7.725263
4.000000,7.550900
4.050000,7.485287
4.100000,7.542255
4.150000,7.651699
4.200000,7.760324
4.250000,7.833402
4.300000,7.874756
4.350000,7.877922
4.400000,7.846560
4.450000,7.772768
4.500000,7.661455
4.550000,7.510510
4.600000,7.320654
4.650000,7.082984
4.700000,6.870439
4.750000,6.734675
4.800000,6.702217
4.850000,6.769981
4.900000,6.953123
4.950000,7.243453
5.000000,7.648125
5.050000,8.159310
5.100000,8.783779
5.150000,9.516271
5.200000,10.367197
5.250000,11.338646
5.300000,12.427135
5.350000,13.619130
5.400000,14.924626
5.450000,16.353731
5.500000,17.900631
5.550000,19.543180
5.600000,21.320648
5.650000,23.187057
5.700000,25.200689
5.750000,27.254997
5.800000,29.321388
5.850000,31.366459
5.900000,33.388748
5.950000,35.334301
6.000000,37.275242
6.050000,39.161819
6.100000,41.034134
6.150000,42.864853
6.200000,44.679329
6.250000,46.460541
6.300000,48.195274
6.350000,49.903534
6.400000,51.579426
6.450000,53.199970
6.500000,54.818771
6.550000,56.405434
6.600000,57.942974
6.650000,59.448818
6.700000,60.929195
6.750000,62.379082
6.800000,63.798512
6.850000,65.175644
6.900000,66.524857
6.950000,67.838470
7.000000,69.120216
7.050000,70.369934
7.100000,71.586914
7.150000,72.761497
7.200000,73.916618
7.250000,75.041100
7.300000,76.129333
7.350000,77.175285
7.400000,78.201897
7.450000,79.202171
7.500000,80.161469
7.550000,81.092682
7.600000,81.998634
7.650000,82.873390
7.700000,83.721260
7.750000,84.536942
7.800000,85.334274
7.850000,86.071259
7.900000,86.804558
7.950000,87.501831
8.000000,88.168335
8.050000,88.780586
8.100000,89.345886
8.150001,89.891769
8.200000,90.420967
8.250000,90.913696
8.300000,91.379021
8.350000,91.788208
8.400001,92.171097
8.450000,92.524925
8.500000,92.848145
8.550000,93.124084
8.600000,93.372734
8.650001,93.588318
8.700000,93.776634
8.750000,93.921486
8.800000,94.038437
8.850000,94.124695
8.900001,94.179581
8.950000,94.205635
9.000000,94.196838
9.050000,94.161888
9.100000,94.098785
9.150001,93.998291
9.200000,93.876846
9.250000,93.716675
9.300000,93.525383
9.350000,93.304276
9.400001,93.055878
9.450000,92.767822
9.500000,92.447433
9.550000,92.088982
9.600000,91.696022
9.650001,91.264473
9.700000,90.796677
9.750000,90.284973
9.800000,89.733841
9.850000,89.150948
9.900001,88.543175
9.950000,87.880928
10.000000,87.176811
10.050000,86.434006
10.100000,85.661217
10.150001,84.845894
10.200000,83.997375
10.250000,83.088608
10.300000,82.140137
10.350000,81.146248
10.400001,80.129906
10.450000,79.068268
10.500000,77.965797
10.550000,76.812874
10.600000,75.618256
10.650001,74.400543
10.700000,73.142540
10.750000,71.842415
10.800000,70.489235
10.850000,69.092201
10.900001,67.661629
10.950000,66.175697
11.000000,64.651405
11.050000,63.083988
11.100000,61.479927
11.150001,59.820568
11.200000,58.124653
11.250000,56.391338
11.300000,54.631290
11.350000,52.803501
11.400001,50.937695
11.450000,49.030651
11.500000,47.076447
11.550000,45.086781
11.600000,43.057468
11.650001,40.976948
11.700000,38.866997
11.750000,36.704563
11.800000,34.533772
11.850000,32.294323
11.900001,30.019297
11.950000,27.680075
12.000000,25.321583
12.050000,22.905674
12.100000,20.475821
12.150001,17.970533
12.200000,15.443548
12.250000,12.888003
12.300000,10.262646
12.350000,7.613946
12.400001,4.901076
12.450000,2.157252
12.500000,-0.632979
12.550000,-3.448793
12.600000,-6.327963
12.650001,-9.269606
12.700000,-12.146693
12.750000,-14.970998
12.800000,-17.694963
12.850000,-20.325941
12.900001,-22.843853
12.950000,-25.253983
13.000000,-27.566656
13.050000,-29.762123
13.100000,-31.843670
13.150001,-33.796055
13.200000,-35.677532
13.250000,-37.435287
13.300000,-39.062992
13.350000,-40.595158
13.400001,-42.016136
13.450000,-43.330872
13.500000,-44.528458
13.550000,-45.637543
13.600000,-46.619656
13.650001,-47.500099
13.700000,-48.284431
13.750000,-48.960049
13.800000,-49.493126
13.850000,-49.937553
13.900001,-50.257755
13.950000,-50.473789
14.000000,-50.573593
14.050000,-50.566856
14.100000,-50.456898
14.150001,-50.228092
14.200000,-49.875351
14.250000,-49.431301
14.300000,-48.851803
14.350000,-48.178585
14.400001,-47.382580
14.450000,-46.474552
14.500000,-45.451168
14.550000,-44.314255
14.600000,-43.060566
14.650001,-41.693203
14.700000,-40.206543
14.750000,-38.617672
14.800000,-36.896267
14.850000,-35.013802
14.900001,-33.034740
14.950000,-30.972504
15.000000,-28.799749
15.050000,-26.484098
15.100000,-24.059647
15.150001,-21.508888
15.200000,-18.817980
15.250000,-16.026022
15.300000,-13.154037
15.350000,-10.111654
15.400001,-6.970350
15.450000,-3.694669
15.500000,-0.302748
15.550000,3.198230
15.600000,6.840897
15.650001,10.575159
15.700000,14.467845
15.750000,18.447758
15.800000,22.557871
15.850000,26.791378
15.900001,31.095240
15.950000,35.397026
16.000000,39.677158
16.049999,43.929226
16.099998,48.148594
16.150000,52.376007
16.199999,56.549767
16.250000,60.685219
16.299999,64.832130
16.349998,68.907059
16.400000,72.960953
16.449999,76.979034
16.500000,80.992752
16.549999,84.988304
16.599998,88.923355
16.650000,92.856064
16.699999,96.770828
16.750000,100.655342
16.799999,104.455002
16.849998,108.276222
16.900000,112.069321
16.949999,115.829330
17.000000,119.580383
17.049999,123.294601
17.099998,126.973549
17.150000,130.625381
17.199999,134.266586
17.250000,137.879684
17.299999,141.468964
17.349998,145.033020
17.400000,148.568405
17.449999,152.090546
17.500000,155.576294
17.549999,159.061310
17.599998,162.519363
17.650000,165.947678
17.699999,169.358292
17.750000,172.732635
17.799999,176.100220
17.849998,179.435623
17.900000,-177.231247
17.949999,-173.942581
18.000000,-170.601944
18.049999,-167.164230
18.099998,-163.618103
18.150000,-159.964615
18.199999,-156.156647
18.250000,-152.228088
18.299999,-148.158737
18.349998,-143.969879
18.400000,-139.655182
18.449999,-135.226166
18.500000,-130.618500
18.549999,-125.915115
18.599998,-121.102615
18.650000,-116.138390

