Graph0
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,0.619389
0.100000,0.790403
0.150000,0.837887
0.200000,0.847135
0.250000,0.845345
0.300000,0.841206
0.350000,0.836343
0.400000,0.843323
0.450000,0.850085
0.500000,0.842395
0.550000,-0.328901
0.600000,-0.714288
0.650000,-0.861027
0.700000,-0.899850
0.750000,-0.914972
0.800000,-0.918073
0.850000,-0.903333
0.900000,-0.926597
0.950000,-0.912882
1.000000,-0.911885
1.050000,-0.900041
1.100000,-0.916352
1.150000,-0.919904
1.200000,-0.924603
1.250000,-0.924808
1.300000,-0.930559
1.350000,-0.935804
1.400000,-0.938372
1.450000,-0.940667
1.500000,-0.942033
1.550000,-0.941651
1.600000,-0.948440
1.650000,-0.929575
1.700000,-0.908156
1.750000,-0.912773
1.800000,-0.911065
1.850000,-0.901066
1.900000,-0.894755
1.950000,-0.905847
2.000000,-0.912582
2.050000,-0.920218
2.100000,-0.928537
2.150000,-0.932977
2.200000,-0.935572
2.250000,-0.936952
2.300000,-0.936556
2.350000,-0.938741
2.400000,-0.938263
2.450000,-0.941706
2.500000,-0.940285
2.550000,-0.938577
2.600000,-0.937949
2.650000,-0.941869
2.700000,-0.945244
2.750000,-0.949601
2.800000,-0.955817
2.850000,-0.956076
2.900000,-0.964587
2.950000,-0.971704
3.000000,-0.954669
3.050000,-0.943686
3.100000,-0.944410
3.150000,-0.954710
3.200000,-0.953904
3.250000,-0.962223
3.300000,-0.954369
3.350000,-0.949041
3.400000,-0.955325
3.450000,-0.946541
3.500000,-0.948017
3.550000,0.199346
3.600000,0.603461
3.650000,0.737114
3.700000,0.811536
3.750000,0.821508
3.800000,0.825975
3.850000,0.834840
3.900000,0.841753
3.950000,0.869961
4.000000,0.874565
4.050000,0.896927
4.100000,-0.322986
4.150000,-0.743972
4.200000,-0.875371
4.250000,-0.939738
4.300000,-0.928919
4.350000,-0.935326
4.400000,-0.951104
4.450000,-0.960120
4.500000,-0.970980
4.550000,-0.938741
4.600000,-0.918292
4.650000,0.217828
4.700000,0.632735
4.750000,0.775978
4.800000,0.821672
4.850000,0.835687
4.900000,0.833297
4.950000,0.850386
5.000000,0.854976
5.050000,0.895451
5.100000,0.893935
5.150000,0.894891
5.200000,0.928414
5.250000,0.917663
5.300000,0.865535
5.350000,0.884455
5.400000,0.877597
5.450000,0.861601
5.500000,0.896367
5.550000,0.901967
5.600000,0.914303
5.650000,0.908347
5.700000,-0.253523
5.750000,-0.668170
5.800000,-0.806714
5.850000,-0.841971
5.900000,-0.851711
5.950000,-0.851998
6.000000,-0.847995
6.050000,-0.885548
6.100000,-0.889550
6.150000,-0.904454
6.200000,-0.912513
6.250000,-0.894823
6.300000,-0.899795
6.350000,-0.883977
6.400000,-0.893758
6.450000,-0.902719
6.500000,-0.884919
6.550000,-0.870480
6.600000,-0.870740
6.650000,-0.849184
6.700000,-0.843747
6.750000,-0.841548
6.800000,-0.847217
6.850000,-0.851820
6.900000,-0.857517
6.950000,-0.857476
7.000000,-0.853350
7.050000,-0.862243
7.100000,-0.828912
7.150000,-0.853500
7.200000,-0.782125
7.250000,-0.826576
7.300000,-0.865849
7.350000,-0.857544
7.400000,-0.860686
7.450000,-0.844771
7.500000,-0.837996
7.550000,-0.830865
7.600000,-0.803708
7.650000,-0.807888
7.700000,-0.803203
7.750000,-0.818940
7.800000,-0.836425
7.850000,-0.851779
7.900000,-0.860098
7.950000,-0.845659
8.000000,-0.839854
8.050000,-0.844935
8.100000,-0.861806
8.150001,-0.883321
8.200000,-0.887720
8.250000,-0.883622
8.300000,-0.876286
8.350000,-0.893976
8.400001,-0.885111
8.450000,-0.884974
8.500000,-0.888170
8.550000,-0.886627
8.600000,-0.892228
8.650001,-0.883499
8.700000,-0.878554
8.750000,-0.878772
8.800000,-0.872324
8.850000,-0.856642
8.900001,-0.853555
8.950000,-0.860618
9.000000,-0.865931
9.050000,-0.870166
9.100000,-0.867284
9.150001,-0.864251
9.200000,-0.860686
9.250000,-0.863514
9.300000,-0.868185
9.350000,-0.871860
9.400001,-0.872639
9.450000,-0.863677
9.500000,-0.878417
9.550000,-0.872926
