Graph
Time (Seconds),Data (Degrees)
0.000000,0.000000
0.050000,-0.111793
0.100000,-0.123409
0.150000,-0.126479
0.200000,-0.138172
0.250000,-0.182575
0.300000,-0.258063
0.350000,-0.373988
0.400000,-0.523135
0.450000,-0.714689
0.500000,-0.941450
0.550000,-1.223405
0.600000,-1.480145
0.650000,-1.659532
0.700000,-1.738729
0.750000,-1.714303
0.800000,-1.579033
0.850000,-1.336085
0.900000,-0.980242
0.950000,-0.520777
1.000000,0.056549
1.050000,0.748477
1.100000,1.547254
1.150000,2.408695
1.200000,3.263904
1.250000,4.086243
1.300000,4.887748
1.350000,5.646686
1.400000,6.369114
1.450000,7.056757
1.500000,7.719249
1.550000,8.335909
1.600000,8.926278
1.650000,9.470319
1.700000,9.979803
1.750000,10.451171
1.800000,10.892399
1.850000,11.301842
1.900000,11.662269
1.950000,11.984860
2.000000,12.280012
2.050000,12.534083
2.100000,12.753742
2.150000,12.924168
2.200000,13.061473
2.250000,13.156596
2.300000,13.220527
2.350000,13.241149
2.400000,13.222529
2.450000,13.168667
2.500000,13.074139
2.550000,12.934578
2.600000,12.758484
2.650000,12.543984
2.700000,12.291806
2.750000,11.990692
2.800000,11.708907
2.850000,11.504997
2.900000,11.403194
2.950000,11.396408
3.000000,11.503324
3.050000,11.718480
3.100000,12.046291
3.150000,12.480906
3.200000,13.031689
3.250000,13.689399
3.300000,14.462296
3.350000,15.344769
3.400000,16.348093
3.450000,17.460915
3.500000,18.695690
3.550000,20.038591
3.600000,21.494049
3.650000,23.059219
3.700000,24.755398
3.750000,26.499811
3.800000,28.239748
3.850000,29.962576
3.900000,31.673504
3.950000,33.342602
4.000000,34.935242
4.050000,36.516323
4.100000,38.070297
4.150000,39.579273
4.200000,41.066635
4.250000,42.504108
4.300000,43.908604
4.350000,45.276840
4.400000,46.625053
4.450000,47.929909
4.500000,49.205837
4.550000,50.448063
4.600000,51.655125
4.650000,52.802029
4.700000,53.935184
4.750000,55.035168
4.800000,56.109077
4.850000,57.131287
4.900000,58.096245
4.950000,59.047333
5.000000,59.966167
5.050000,60.841461
5.100000,61.686165
5.150000,62.480515
5.200000,63.255440
5.250000,63.985672
5.300000,64.682823
5.350000,65.337448
5.400000,65.968742
5.450000,66.565727
5.500000,67.130646
5.550000,67.658226
5.600000,68.157089
5.650000,68.612289
5.700000,69.038170
5.750000,69.433121
5.800000,69.801971
5.850000,70.126450
5.900000,70.412338
5.950000,70.671753
6.000000,70.893669
6.050000,71.075111
6.100000,71.232452
6.150000,71.343300
6.200000,71.431427
6.250000,71.476654
6.300000,71.488083
6.350000,71.465393
6.400000,71.407867
6.450000,71.305779
6.500000,71.182610
6.550000,71.010757
6.600000,70.807312
6.650000,70.573616
6.700000,70.288834
6.750000,69.950729
6.800000,69.619064
6.850000,69.239204
6.900000,68.819550
6.950000,68.359261
7.000000,67.864845
7.050000,67.330238
7.100000,66.761597
7.150000,66.153137
7.200000,65.509903
7.250000,64.826088
7.300000,64.107399
7.350000,63.342777
7.400000,62.537651
7.450000,61.696445
7.500000,60.813957
7.550000,59.890759
7.600000,58.926987
7.650000,57.918262
7.700000,56.877686
7.750000,55.815945
7.800000,54.717167
7.850000,53.554081
7.900000,52.352280
7.950000,51.100388
8.000000,49.809120
8.050000,48.475327
8.100000,47.102764
8.150001,45.706451
8.200000,44.261257
8.250000,42.769924
8.300000,41.250969
8.350000,39.692482
8.400001,38.084240
8.450000,36.436131
8.500000,34.746986
8.550000,33.006958
8.600000,31.241327
8.650001,29.416782
8.700000,27.553476
8.750000,25.649994
8.800000,23.707733
8.850000,21.734222
8.900001,19.710320
8.950000,17.613035
9.000000,15.500895
9.050000,13.353045
9.100000,11.185497
9.150001,8.931601
9.200000,6.657452
9.250000,4.336521
9.300000,1.963708
9.350000,-0.456808
9.400001,-2.890640
9.450000,-5.391000
9.500000,-7.935810
9.550000,-10.534554
9.600000,-13.153292
9.650001,-15.830233
9.700000,-18.542959
9.750000,-21.311787
9.800000,-24.099010
9.850000,-26.914841
9.900001,-29.742924
9.950000,-32.502438
10.000000,-35.164375
10.050000,-37.730267
10.100000,-40.159172
10.150001,-42.499260
10.200000,-44.717758
10.250000,-46.848881
10.300000,-48.861664
10.350000,-50.750603
10.400001,-52.529839
10.450000,-54.224163
10.500000,-55.784760
10.550000,-57.244774
10.600000,-58.591106
10.650001,-59.821701
10.700000,-60.913376
10.750000,-61.921989
10.800000,-62.817791
10.850000,-63.593884
10.900001,-64.263718
10.950000,-64.810631
11.000000,-65.241898
11.050000,-65.566650
11.100000,-65.778938
